t x v E
 98.5996 0.00185308 0.00340107 1.50012e-05
 98.7996 0.00251622 0.00322538 1.67344e-05
 98.9996 0.00314134 0.00302126 1.8996e-05
 99.1996 0.003723 0.00279129 2.1652e-05
 99.3996 0.00425631 0.00253827 2.4559e-05
 99.5996 0.00473696 0.00226514 2.75697e-05
 99.7996 0.00516124 0.00197502 3.0539e-05
 99.9996 0.00552605 0.0016711 3.33298e-05
 100.2 0.00582897 0.00135667 3.58175e-05
 100.4 0.00606824 0.00103505 3.78948e-05
 100.6 0.00624274 0.000709551 3.94752e-05
 100.8 0.00635202 0.000383482 4.04952e-05
 101 0.00639631 6.00763e-05 4.09163e-05
 101.2 0.00637644 -0.00025752 4.07253e-05
 101.4 0.00629389 -0.00056628 3.99337e-05
 101.6 0.00615071 -0.000863325 3.85766e-05
 101.8 0.00594952 -0.00114595 3.671e-05
 102 0.00569346 -0.00141164 3.44082e-05
 102.2 0.00538615 -0.0016581 3.17599e-05
 102.4 0.00503164 -0.00188328 2.88641e-05
 102.6 0.00463438 -0.00208537 2.58262e-05
 102.8 0.00419913 -0.00226284 2.27531e-05
 103 0.00373097 -0.0024144 1.97495e-05
 103.2 0.00323517 -0.00253908 1.69132e-05
 103.4 0.00271718 -0.00263617 1.43324e-05
 103.6 0.00218257 -0.00270526 1.2082e-05
 103.8 0.00163695 -0.00274622 1.02213e-05
 104 0.00108595 -0.0027592 8.79247e-06
 104.2 0.000535113 -0.00274463 7.81935e-06
 104.4 -1.01101e-05 -0.0027032 7.30739e-06
 104.6 -0.000544437 -0.00263585 7.2441e-06
 104.8 -0.0010628 -0.00254375 7.60022e-06
 105 -0.00156038 -0.00242832 8.33152e-06
 105.2 -0.00203268 -0.00229115 9.38113e-06
 105.4 -0.00247551 -0.00213403 1.06822e-05
 105.6 -0.00288509 -0.00195891 1.21611e-05
 105.8 -0.00325801 -0.00176788 1.37401e-05
 106 -0.00359133 -0.00156315 1.5341e-05
 106.2 -0.00388251 -0.001347 1.68883e-05
 106.4 -0.00412952 -0.00112181 1.83114e-05
 106.6 -0.00433079 -0.000889985 1.95478e-05
 106.8 -0.00448524 -0.000653944 2.0545e-05
 107 -0.00459225 -0.000416107 2.12619e-05
 107.2 -0.00465172 -0.000178863 2.16705e-05
 107.4 -0.00466399 5.54518e-05 2.17559e-05
 107.6 -0.00462989 0.000284579 2.15168e-05
 107.799 -0.00455065 0.000506354 2.09648e-05
 107.999 -0.00442797 0.000718728 2.01235e-05
 108.199 -0.00426392 0.000919787 1.9027e-05
 108.399 -0.00406093 0.00110777 1.77183e-05
 108.599 -0.00382179 0.00128106 1.62472e-05
 108.799 -0.00354958 0.00143826 1.46681e-05
 108.999 -0.00324764 0.00157811 1.30376e-05
 109.199 -0.00291956 0.00169958 1.14124e-05
 109.399 -0.00256909 0.00180184 9.84686e-06
 109.599 -0.00220015 0.00188424 8.39103e-06
 109.799 -0.00181675 0.00194638 7.08896e-06
 109.999 -0.00142296 0.00198803 5.97708e-06
 110.199 -0.0010229 0.00200919 5.08316e-06
 110.399 -0.000620644 0.00201005 4.4255e-06
 110.599 -0.00022021 0.00199101 4.01262e-06
 110.799 0.000174472 0.00195265 3.8433e-06
 110.999 0.000559614 0.00189574 3.907e-06
 111.199 0.000931593 0.0018212 4.18464e-06
 111.399 0.00128699 0.00173012 4.64966e-06
 111.599 0.00162262 0.00162373 5.26939e-06
 111.799 0.00193555 0.00150338 6.00651e-06
 111.999 0.00222314 0.00137054 6.82074e-06
 112.199 0.00248304 0.00122678 7.67048e-06
 112.399 0.00271323 0.00107373 8.51452e-06
 112.599 0.00291202 0.000913083 9.31361e-06
 112.799 0.00307807 0.000746587 1.00319e-05
 112.999 0.00321039 0.000576002 1.06384e-05
 113.199 0.00330832 0.000403097 1.11075e-05
 113.399 0.00337159 0.000229628 1.14203e-05
 113.599 0.00340025 5.73222e-05 1.1565e-05
 113.799 0.00339471 -0.000112139 1.15366e-05
 113.999 0.00335569 -0.000277134 1.13375e-05
 114.199 0.00328425 -0.000436122 1.09765e-05
 114.399 0.00318174 -0.000587647 1.04688e-05
