t x v
 148.799 0.000125937 0.00027229
 148.999 0.000179221 0.000259304
 149.199 0.000229667 0.000244001
 149.399 0.000276831 0.000226582
 149.599 0.00032031 0.000207259
 149.799 0.000359746 0.000186264
 149.999 0.000394827 0.000163837
 150.199 0.000425293 0.00014023
 150.399 0.000450932 0.0001157
 150.599 0.000471586 9.05099e-05
 150.799 0.000487149 6.49217e-05
 150.999 0.000497568 3.91978e-05
 151.199 0.000502841 1.35961e-05
 151.399 0.000503019 -1.16317e-05
 151.599 0.000498201 -3.62427e-05
 151.799 0.000488534 -6.00048e-05
 151.999 0.00047421 -8.26991e-05
 152.199 0.000455464 -0.000104122
 152.399 0.000432571 -0.000124085
 152.599 0.000405839 -0.00014242
 152.799 0.000375611 -0.000158977
 152.999 0.000342256 -0.000173627
 153.199 0.000306166 -0.000186263
 153.399 0.000267755 -0.000196799
 153.599 0.00022745 -0.000205172
 153.799 0.000185689 -0.000211342
 153.999 0.000142915 -0.000215293
 154.199 9.95724e-05 -0.000217028
 154.399 5.61031e-05 -0.000216574
 154.599 1.29409e-05 -0.00021398
 154.799 -2.9492e-05 -0.000209314
 154.999 -7.07887e-05 -0.000202663
 155.199 -0.000110562 -0.000194133
 155.399 -0.000148448 -0.000183846
